Fecha,Region,Sitio,lat_centroide,long_centroide,Etapa_de_bosque,habitat,Nombre_cientifico,edad,sexo
9-Dec-14,Osa,OOG1,8.406048,83.332288,BM,Ripario,Lepidothrix coronata,adulto,hembra
9-Nov-16,Osa,OOG1,8.406048,83.332288,BM,Ripario,Lepidothrix coronata,adulto,macho
31-Mar-16,Osa,OOG3,8.616711753,-83.4714313,BM,Ripario,Chloroceryle aenea,adulto,hembra
5-Nov-16,Osa,OOG3,8.616711753,-83.4714313,BM,Ripario,Mionectes oleangineus,adulto,
11-Ago-15,Osa,OOG3,8.616711753,-83.4714313,BM,Ripario,Mionectes oleangineus,adulto,
16-Dec-15,Osa,OPOT1,8.406431,-83.348611,P,Ripario,Eucometis penicillata,adulto,
2-Mar-15,Osa,OPOT1,8.406431,-83.348611,P,Ripario,unk bird con nido,adulto,hembra
7-Mar-15,Osa,OPOT2,8.416039199,-83.28316861,P,Ripario,Myiodynastes maculatus,adulto,
1-enero-16,Osa,OPOT2,8.416039199,-83.28316861,P,Ripario,Tigrisoma mexicanum,juvenile,
10-Nov-16,Osa,OPOT3,8.403725104,-83.35079587,P,Ripario,Eucometis penicillata,adulto,
20-Sep-16,Osa,OS1,8.404271118,-83.33887124,S3,Ripario,Arremon aurantiirostris,adulto,
20-Sep-16,Osa,OS1,8.404271118,-83.33887124,S3,Ripario,Arremon aurantiirostris,adulto,
8-Apr-16,Osa,OS1,8.404271118,-83.33887124,S3,Ripario,Chloroceryle aenea,adulto,
4-Apr-16,Osa,OS1,8.404271118,-83.33887124,S3,Ripario,Parkesia noveboracensis,adulto,
18-Dec-14,Osa,OS2,8.619242571,-83.474378,S2,Ripario,Chloroceryle aenea,adulto,hembra
5-Mar-15,Osa,OS2,8.619242571,-83.474378,S2,Ripario,Chloroceryle aenea,adulto,hembra
,Osa,OS2,8.619242571,-83.474378,S2,Ripario,Chloroceryle aenea,adulto,hembra
30-Mar-16,Osa,OS2,8.619242571,-83.474378,S2,Ripario,Parkesia noveboracensis,adulto,
7-Apr-16,Osa,OS4,8.456360456,-83.35779386,S2,Ripario,Trogon rufus,adulto,hembra
5-Apr-16,Osa,OS6,8.417394228,-83.35387077,S3,Ripario,Thamnophilus bridgesi,adulto,
5-Apr-16,Osa,OS6,8.417394228,-83.35387077,S3,Ripario,Thamnophilus bridgesi,adulto,hembra
10-Mar-16,Sarapiqui,P1,10.43137242,-84.03048544,S3,Ripario,Mionectes oleangineus,adulto,
10-Mar-16,Sarapiqui,P1,10.43137242,-84.03048544,S3,Ripario,Mionectes oleangineus,adulto,
31-Oct-16,Sarapiqui,P1,10.43137242,-84.03048544,S3,Ripario,Mionectes oleangineus,adulto,
11-Oct-14,Sarapiqui,P1,10.43137242,-84.03048544,S3,Ripario,Mionectes oleangineus,adulto,
24-Jan-15,Sarapiqui,P1,10.43137242,-84.03048544,S3,Ripario,Mionectes oleangineus,adulto,
2-Jul-15,Sarapiqui,P1,10.43137242,-84.03048544,S3,Ripario,Phaethornis longirostris,adulto,
31-Oct-16,Sarapiqui,P1,10.43137242,-84.03048544,S3,Ripario,unk bird,,
7-Jun-17,Sarapiqui,P1,10.43137242,-84.03048544,S3,Ripario,unk bird (nido),,
24-Jan-15,Sarapiqui,P1 ,10.43137242,-84.03048544,S3,Ripario,Parkesia motacilla,adulto,
30-Jan-15,Sarapiqui,P10,10.4320382,-84.02018011,S2,Ripario,Hylophylax naevioides,subadulto,macho
